id,/geo.Geo/Nearby,/rate.Rate/GetRates,/search.Search/Nearby,HTTP GET /hotels,startTime,total,/profile.Profile/GetProfiles,memcached_get_profile,/recommendation.Recommendation/GetRecommendations,HTTP GET /recommendations,memcached_get_multi_rate,/reservation.Reservation/CheckAvailability,CheckAvailability,memcached_reserve_get_multi_number,memcached_capacity_get_multi_number,/user.User/CheckUser,HTTP POST /user,memcached_reservation_get,memcached_capacity_get,mongodb_capacity_get,/reservation.Reservation/MakeReservation,mongodb_reservation_find,MakeReservation,HTTP POST /reservation,pattern
0139a064f16c11df,45610.0,13738.0,136889.0,137103.0,2026-02-24 09:28:49.113979,393130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010001001000000000000
00a133af93a89689,0.0,0.0,0.0,0.0,2026-02-24 09:28:36.005464,77924,10537.0,473.0,27752.0,38376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0101000000100000010000
001beaae13f17a37,11838.0,9973191.0,10002931.0,10003284.0,2026-02-24 09:27:02.837632,40176836,0.0,0.0,0.0,0.0,200369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010001001000000100000
001f7604c39be61b,0.0,0.0,0.0,0.0,2026-02-24 09:28:29.486932,57748,1080.0,827.0,34.0,28013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0101000000100000010000
0037f5d0e25696da,0.0,0.0,0.0,0.0,2026-02-24 09:27:22.707257,160051,23560.0,1465.0,54866.0,78532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0101000000100000010000
00a2987a7754cd14,411.0,7079.0,39774.0,40139.0,2026-02-24 09:27:33.228771,132256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010001001000000000000
00c2bcb26596006e,21083.0,33347.0,70866.0,109831.0,2026-02-24 09:27:38.727153,328745,12556.0,2.0,0.0,0.0,2.0,26166.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110101011000001110100
012d9e1df3e7c1b2,0.0,0.0,0.0,0.0,2026-02-24 09:28:55.005526,62943,21651.0,3667.0,6026.0,27778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0101000000100000010000
007b5e736bc85380,22004.0,9998819.0,10020907.0,10026576.0,2026-02-24 09:27:02.544910,40270885,0.0,0.0,0.0,0.0,176363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010001001000000100000
013d123199493151,9531.0,2454064.0,2478064.0,2526540.0,2026-02-24 09:27:15.221507,9980319,21792.0,7.0,0.0,0.0,4.0,26395.0,29.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110101011000001110100
005b84b13fc53d45,33.0,9984817.0,10000683.0,10000872.0,2026-02-24 09:26:54.698770,39990438,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010001001000000100000
0036530d39d16af4,47467.0,13.0,107911.0,2169213.0,2026-02-24 09:26:55.538418,4509726,191383.0,2.0,0.0,0.0,3.0,29.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110101011000001110100
000f31e6c91dee20,64.0,9995313.0,10002493.0,10002648.0,2026-02-24 09:26:54.865190,40013139,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010001001000000100000
